tick,time_s,status,ran_steps,cum_steps,reload,mark_reload,temp_K,density_m3,n_ratio,pressure_Pa,shield_hits,shield_reemit
113,6780,1,2500,280000,0,0,0,0,0,0,0,0
114,6840,1,2500,282500,0,0,0,0,0,0,0,0
115,6900,1,2500,285000,0,0,0,0,0,0,0,0
116,6960,1,2500,287500,0,0,0,0,0,0,0,0
117,7020,1,2500,290000,0,0,0,0,0,0,0,0
118,7080,1,2500,292500,0,0,0,0,0,0,0,0
119,7140,1,2500,295000,0,0,0,0,0,0,0,0
120,7200,1,2500,297500,0,0,0,0,0,0,0,0
121,7260,1,2500,300000,0,0,0,0,0,0,0,0
122,7320,1,2500,302500,0,0,0,0,0,0,0,0
123,7380,1,2500,305000,0,0,0,0,0,0,0,0
124,7440,1,2500,307500,0,0,0,0,0,0,0,0
125,7500,1,2500,310000,0,0,0,0,0,0,0,0
126,7560,1,2500,312500,0,0,0,0,0,0,0,0
127,7620,1,2500,315000,0,0,0,0,0,0,0,0
128,7680,1,2500,317500,0,0,0,0,0,0,0,0
129,7740,1,2500,320000,0,0,0,0,0,0,0,0
130,7800,1,2500,322500,0,0,0,0,0,0,0,0
131,7860,1,2500,325000,0,0,0,0,0,0,0,0
132,7920,1,2500,327500,0,0,0,0,0,0,0,0
133,7980,1,2500,330000,0,0,0,0,0,0,0,0
134,8040,1,2500,332500,0,0,0,0,0,0,0,0
135,8100,1,2500,335000,0,0,0,0,0,0,0,0
136,8160,1,2500,337500,0,0,0,0,0,0,0,0
137,8220,1,2500,340000,0,0,0,0,0,0,0,0
138,8280,1,2500,342500,0,0,0,0,0,0,0,0
139,8340,1,2500,345000,0,0,0,0,0,0,0,0
140,8400,1,2500,347500,0,0,0,0,0,0,0,0
141,8460,1,2500,350000,0,0,0,0,0,0,0,0
142,8520,1,2500,352500,0,0,0,0,0,0,0,0
143,8580,1,2500,355000,0,0,0,0,0,0,0,0
144,8640,1,2500,357500,0,0,0,0,0,0,0,0
145,8700,1,2500,360000,0,0,0,0,0,0,0,0
146,8760,1,2500,362500,0,0,0,0,0,0,0,0
147,8820,1,2500,365000,0,0,0,0,0,0,0,0
148,8880,1,2500,367500,0,0,0,0,0,0,0,0
149,8940,1,2500,370000,0,0,0,0,0,0,0,0
150,9000,1,2500,372500,0,0,0,0,0,0,0,0
151,9060,1,2500,375000,0,0,0,0,0,0,0,0
152,9120,1,2500,377500,0,0,0,0,0,0,0,0
153,9180,1,2500,380000,0,0,0,0,0,0,0,0
154,9240,1,2500,382500,0,0,0,0,0,0,0,0
155,9300,1,2500,385000,0,0,0,0,0,0,0,0
156,9360,1,2500,387500,0,0,0,0,0,0,0,0
157,9420,1,2500,390000,0,0,0,0,0,0,0,0
158,9480,1,2500,392500,0,0,0,0,0,0,0,0
159,9540,1,2500,395000,0,0,0,0,0,0,0,0
160,9600,1,2500,397500,0,0,0,0,0,0,0,0
161,9660,1,2500,400000,0,0,0,0,0,0,0,0
162,9720,1,2500,402500,0,0,0,0,0,0,0,0
163,9780,1,2500,405000,0,0,0,0,0,0,0,0
164,9840,1,2500,407500,0,0,0,0,0,0,0,0
165,9900,1,2500,410000,0,0,0,0,0,0,0,0
166,9960,1,2500,412500,0,0,0,0,0,0,0,0
167,10020,1,2500,415000,0,0,0,0,0,0,0,0
168,10080,1,2500,417500,0,0,0,0,0,0,0,0
169,10140,1,2500,420000,0,0,0,0,0,0,0,0
170,10200,1,2500,422500,0,0,0,0,0,0,0,0
171,10260,1,2500,425000,0,0,0,0,0,0,0,0
172,10320,1,2500,427500,0,0,0,0,0,0,0,0
173,10380,1,2500,430000,0,0,0,0,0,0,0,0
174,10440,1,2500,432500,0,0,0,0,0,0,0,0
175,10500,1,2500,435000,0,0,0,0,0,0,0,0
176,10560,1,2500,437500,0,0,0,0,0,0,0,0
177,10620,1,2500,440000,0,0,0,0,0,0,0,0
178,10680,1,2500,442500,0,0,0,0,0,0,0,0
179,10740,1,2500,445000,0,0,0,0,0,0,0,0
180,10800,1,2500,447500,0,0,0,0,0,0,0,0
181,10860,1,2500,450000,0,0,0,0,0,0,0,0
182,10920,1,2500,452500,0,0,0,0,0,0,0,0
183,10980,1,2500,455000,0,0,0,0,0,0,0,0
184,11040,1,2500,457500,0,0,0,0,0,0,0,0
185,11100,1,2500,460000,0,0,0,0,0,0,0,0
186,11160,1,2500,462500,0,0,0,0,0,0,0,0
187,11220,1,2500,465000,0,0,0,0,0,0,0,0
188,11280,1,2500,467500,0,0,0,0,0,0,0,0
189,11340,1,2500,470000,0,0,0,0,0,0,0,0
190,11400,1,2500,472500,0,0,0,0,0,0,0,0
191,11460,1,2500,475000,0,0,0,0,0,0,0,0
192,11520,1,2500,477500,0,0,0,0,0,0,0,0
193,11580,1,2500,480000,0,0,0,0,0,0,0,0
194,11640,1,2500,482500,0,0,0,0,0,0,0,0
195,11700,1,2500,485000,0,0,0,0,0,0,0,0
196,11760,1,2500,487500,0,0,0,0,0,0,0,0
197,11820,1,2500,490000,0,0,0,0,0,0,0,0
198,11880,1,2500,492500,0,0,0,0,0,0,0,0
199,11940,1,2500,495000,0,0,0,0,0,0,0,0
200,12000,1,2500,497500,0,0,0,0,0,0,0,0
201,12060,1,2500,500000,0,0,0,0,0,0,0,0
202,12120,1,2500,502500,0,0,0,0,0,0,0,0
203,12180,1,2500,505000,0,0,0,0,0,0,0,0
204,12240,1,2500,507500,0,0,0,0,0,0,0,0
205,12300,1,2500,510000,0,0,0,0,0,0,0,0
206,12360,1,2500,512500,0,0,0,0,0,0,0,0
207,12420,1,2500,515000,0,0,0,0,0,0,0,0
208,12480,1,2500,517500,0,0,0,0,0,0,0,0
209,12540,1,2500,520000,0,0,0,0,0,0,0,0
210,12600,1,2500,522500,0,0,0,0,0,0,0,0
211,12660,1,2500,525000,0,0,0,0,0,0,0,0
212,12720,1,2500,527500,0,0,0,0,0,0,0,0
