tick,time_s,status,available_added,requested,granted,remaining
203,12180,1,1307.45,1325,1325,0
204,12240,1,1258.57,1325,1325,0
205,12300,1,1207.87,1325,1325,0
206,12360,1,1155.56,1325,1325,0
207,12420,1,1101.9,1325,1325,0
208,12480,1,1047.11,1325,1325,0
209,12540,1,991.438,1325,1325,0
210,12600,1,935.136,1325,1325,0
211,12660,1,878.454,1325,1325,0
212,12720,1,0,1325,1325,0
213,12780,1,0,1325,1325,0
214,12840,1,0,1325,1325,0
215,12900,1,0,1325,1140.29,0
216,12960,1,0,1325,0,0
217,13020,1,0,1325,0,0
218,13080,1,0,1325,0,0
219,13140,1,0,1325,0,0
220,13200,1,0,1325,0,0
221,13260,1,0,5,0,0
222,13320,1,0,0,0,0
223,13380,1,0,0,0,0
224,13440,1,0,0,0,0
225,13500,1,0,0,0,0
226,13560,1,0,0,0,0
227,13620,1,0,0,0,0
228,13680,1,0,0,0,0
229,13740,1,0,0,0,0
230,13800,1,0,0,0,0
231,13860,1,0,0,0,0
232,13920,1,0,0,0,0
233,13980,1,0,0,0,0
234,14040,1,0,0,0,0
235,14100,1,0,0,0,0
236,14160,1,0,0,0,0
237,14220,1,0,0,0,0
238,14280,1,0,0,0,0
239,14340,1,0,0,0,0
240,14400,1,0,0,0,0
241,14460,1,0,0,0,0
242,14520,1,0,0,0,0
243,14580,1,0,0,0,0
244,14640,1,0,0,0,0
245,14700,1,0,0,0,0
246,14760,1,0,0,0,0
247,14820,1,0,0,0,0
248,14880,1,0,0,0,0
249,14940,1,0,0,0,0
250,15000,1,0,0,0,0
251,15060,1,0,0,0,0
252,15120,1,0,0,0,0
253,15180,1,0,0,0,0
254,15240,1,0,0,0,0
255,15300,1,0,0,0,0
256,15360,1,0,0,0,0
257,15420,1,0,0,0,0
258,15480,1,0,0,0,0
259,15540,1,878.454,0,0,878.454
260,15600,1,935.136,0,0,935.136
261,15660,1,991.438,0,0,991.438
262,15720,1,1047.11,0,0,1047.11
263,15780,1,1101.9,0,0,1101.9
264,15840,1,1155.56,0,0,1155.56
265,15900,1,1207.87,0,0,1207.87
266,15960,1,1258.57,0,0,1258.57
267,16020,1,1307.45,0,0,1307.45
268,16080,1,1354.28,0,0,1354.28
269,16140,1,1398.87,0,0,1398.87
270,16200,1,1441,0,0,1441
271,16260,1,1480.49,0,0,1480.49
272,16320,1,1517.17,0,0,1517.17
273,16380,1,1550.87,0,0,1550.87
274,16440,1,1581.43,0,0,1581.43
275,16500,1,1608.74,0,0,1608.74
276,16560,1,1632.65,0,0,1632.65
277,16620,1,1653.07,0,0,1653.07
278,16680,1,1669.9,0,0,1669.9
279,16740,1,1683.07,0,0,1683.07
280,16800,1,1692.52,0,0,1692.52
281,16860,1,1698.2,0,0,1698.2
282,16920,1,1700.1,0,0,1700.1
283,16980,1,1698.2,0,0,1698.2
284,17040,1,1692.52,0,0,1692.52
285,17100,1,1683.07,1704,1704,0
286,17160,1,1669.9,1709,1709,0
287,17220,1,1653.07,1709,1709,0
288,17280,1,1632.65,1709,1709,0
289,17340,1,1608.74,1709,1709,0
290,17400,1,1581.43,1709,1709,0
291,17460,1,1550.87,1709,1709,0
292,17520,1,1517.17,1709,1709,0
293,17580,1,1480.49,1709,1709,0
294,17640,1,1441,1709,1709,0
295,17700,1,1398.87,1709,1709,0
296,17760,1,1354.28,1709,1709,0
297,17820,1,1307.45,1709,1709,0
298,17880,1,1258.57,1709,1709,0
299,17940,1,1207.87,1709,1709,0
300,18000,1,1155.56,1709,1709,0
301,18060,1,1101.9,1709,1709,0
302,18120,1,1047.11,1709,1709,0
303,18180,1,991.438,1709,1084.41,0
304,18240,1,935.136,1709,935.136,0
305,18300,1,878.454,1709,878.454,0
306,18360,1,0,1709,0,0
307,18420,1,0,1709,0,0
308,18480,1,0,5,0,0
309,18540,1,0,0,0,0
310,18600,1,0,0,0,0
311,18660,1,0,0,0,0
312,18720,1,0,0,0,0
313,18780,1,0,0,0,0
314,18840,1,0,0,0,0
315,18900,1,0,0,0,0
316,18960,1,0,0,0,0
317,19020,1,0,0,0,0
318,19080,1,0,0,0,0
319,19140,1,0,0,0,0
320,19200,1,0,0,0,0
321,19260,1,0,0,0,0
322,19320,1,0,0,0,0
323,19380,1,0,0,0,0
324,19440,1,0,0,0,0
325,19500,1,0,0,0,0
326,19560,1,0,0,0,0
327,19620,1,0,0,0,0
328,19680,1,0,0,0,0
329,19740,1,0,0,0,0
